UMAP_1	UMAP_2	Highlight	cell_id
4.981188764	-6.739589634	none	cell536
11.25610827	-6.336467686	none	cell537
6.20527934	-7.604963246	none	cell538
3.609949817	-7.20384163	none	cell539
4.626625051	-7.936691227	none	cell540
8.256356229	-7.758450451	none	cell541
4.703284731	-7.114048424	none	cell542
3.962703695	-6.760282937	none	cell543
10.84237575	-6.402094784	none	cell544
3.82483243	-6.829898301	none	cell545
8.186597814	-7.854124489	none	cell546
3.573995342	-7.307232323	none	cell547
7.357339372	-8.256100121	none	cell548
7.872302046	-7.77299017	none	cell549
6.248335352	-7.626989785	none	cell550
6.451111307	-4.197021428	none	cell551
7.105743398	-7.443300667	none	cell552
4.589232435	-8.316774788	none	cell553
6.906814565	-7.405348721	none	cell554
7.789931287	-7.996992055	none	cell555
6.126030912	-8.649098816	none	cell556
4.090446939	-6.772185269	none	cell557
4.075089922	-7.752024117	none	cell558
-5.772237788	0.78567892	Epithelials	cell559
7.757879247	-8.070440236	none	cell560
10.12546824	-6.426696721	none	cell561
11.19995784	-6.456411305	none	cell562
5.351032724	-8.137588444	none	cell563
7.098007669	-7.873152676	none	cell564
3.189579239	-7.413469735	none	cell565
5.71613883	-6.966897431	none	cell566
7.829955091	-7.769840661	none	cell567
8.731235494	-7.484000149	none	cell568
9.394456854	-6.805905762	none	cell569
3.919167509	-7.182489815	none	cell570
6.166115274	-7.296987	none	cell571
4.073677053	-7.997914734	none	cell572
3.666872492	-7.107293072	none	cell573
3.909821977	-7.31516594	none	cell574
3.920021524	-7.584408703	none	cell575
4.774721613	-6.998347703	none	cell576
4.473222246	-7.121034089	none	cell577
10.09425067	-6.786762658	none	cell578
9.034370413	-6.648232403	none	cell579
4.32047986	-9.080722275	none	cell580
6.311058511	-4.978514615	none	cell581
6.278042783	-7.496159974	none	cell582
5.474249353	-6.864704075	none	cell583
6.213037958	-7.985083523	none	cell584
10.90117358	-6.323392335	none	cell585
5.687250604	-7.273514691	none	cell586
10.06943606	-6.823862019	none	cell587
8.898602476	-7.32548708	none	cell588
9.744825353	-7.141589108	none	cell589
10.66590308	-6.532648984	none	cell590
9.490118971	-6.825799408	none	cell591
4.272077074	-6.880342427	none	cell592
4.950573435	-7.844667855	none	cell593
6.067336073	-8.251307908	none	cell594
9.04316329	-7.03749508	none	cell595
6.684822073	-6.151427212	none	cell596
6.051343431	-8.531451645	none	cell597
7.581954946	-8.006776753	none	cell598
5.01021718	-9.233128014	none	cell599
8.074140539	-7.951982441	none	cell600
3.896100034	-6.75304884	none	cell601
5.296625127	-7.376292172	none	cell602
5.568878641	-6.022156182	none	cell603
9.389255514	-7.029494229	none	cell604
5.378177633	-7.23943657	none	cell605
8.130066862	-7.735968056	none	cell606
7.604150762	-8.173595849	none	cell607
4.81703042	-6.860253754	none	cell608
7.484504213	-7.809616032	none	cell609
5.806515207	-5.961668435	none	cell610
11.09632968	-6.268149319	none	cell611
11.2024927	-6.291295949	none	cell612
5.535134306	-6.281777325	none	cell613
6.812016	-7.452417794	none	cell614
5.668701162	-7.447732869	none	cell615
4.985379209	-8.166562977	none	cell616
5.957057466	-7.841997567	none	cell617
5.277796735	-9.323616448	none	cell618
3.64122056	-7.581103745	none	cell619
7.334865083	-8.307244721	none	cell620
5.83172225	-9.093001786	none	cell621
4.401605119	-7.956518593	none	cell622
5.34744214	-7.532383385	none	cell623
6.140693655	-6.313271466	none	cell624
5.235503187	-9.170919838	none	cell625
5.64757823	-8.175356808	none	cell626
3.59084033	-7.040298882	none	cell627
11.38018512	-6.752246323	none	cell628
3.763097276	-7.080242577	none	cell629
7.74046134	-8.097103539	none	cell630
3.653955927	-7.272004071	none	cell631
11.01539515	-6.264139596	none	cell632
4.442012777	-7.026603642	none	cell633
4.679709901	-8.619096222	none	cell634
5.436335077	-7.136529389	none	cell635
5.990498056	-6.949259224	none	cell636
6.866713991	-7.708531323	none	cell637
8.895039549	-7.466946068	none	cell638
3.660988798	-7.397622529	none	cell639
5.802352895	-7.19553751	none	cell640
3.778771391	-7.887392941	none	cell641
8.197451582	-7.863931599	none	cell642
4.590370645	-6.938837472	none	cell643
7.084848394	-5.233553353	none	cell644
7.134290208	-8.029222909	none	cell645
4.140538206	-7.822432461	none	cell646
8.128307333	-7.948121014	none	cell647
5.227614393	-7.192548695	none	cell648
8.8807516	-6.552716198	none	cell649
3.689658155	-7.302485409	none	cell650
6.427569379	-7.647159043	none	cell651
6.128649702	-5.761924687	none	cell652
5.434698095	-8.569644394	none	cell653
4.884901514	-6.90312809	none	cell654
6.632372369	-7.321186963	none	cell655
3.853467931	-7.169267121	none	cell656
8.771289816	-7.278181496	none	cell657
5.434702863	-7.687084618	none	cell658
7.264676084	-7.989274445	none	cell659
10.16109752	-6.420193615	none	cell660
4.231803884	-6.740486565	none	cell661
4.828190317	-8.259824219	none	cell662
11.34938239	-6.407613698	none	cell663
4.009932508	-7.236159745	none	cell664
5.883350839	-6.057550374	none	cell665
4.508381357	-7.431603852	none	cell666
-6.074223051	0.195509878	Epithelials	cell667
6.675488939	-8.147941533	none	cell668
6.278457632	-6.83224577	none	cell669
7.475884905	-7.410722676	none	cell670
4.848278513	-7.276248875	none	cell671
6.068375101	-7.357299748	none	cell672
4.185379495	-8.244081917	none	cell673
6.535750379	-6.552843037	none	cell674
5.221848001	-7.158021393	none	cell675
5.82323121	-7.086750451	none	cell676
10.84078406	-6.53039259	none	cell677
6.090322008	-7.567010346	none	cell678
11.44758986	-6.417079392	none	cell679
4.924693098	-8.191921654	none	cell680
9.376718511	-7.503306809	none	cell681
5.951303472	-7.434177342	none	cell682
6.098877897	-9.087358895	none	cell683
3.638986101	-7.35414404	none	cell684
6.179833402	-7.565141621	none	cell685
3.644093027	-7.081280652	none	cell686
9.401108732	-7.061003628	none	cell687
